epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,11771.8,1.21584,0.62989,0.00323,0.88832,0.84133,0.92438,0.64699,1.14557,0.5538,0.00375,0.000479531,0.000479531,0.000479531
70,11943.7,1.21135,0.62205,0.00321,0.88555,0.84727,0.92522,0.6498,1.13916,0.55408,0.00372,0.000453537,0.000453537,0.000453537
71,12114.0,1.20171,0.61458,0.00316,0.87882,0.85154,0.92633,0.64795,1.14287,0.54819,0.00374,0.000428093,0.000428093,0.000428093
72,12285.2,1.18707,0.61163,0.00314,0.88927,0.84696,0.92572,0.65003,1.14188,0.5426,0.00372,0.000403222,0.000403222,0.000403222
73,12456.5,1.18933,0.60903,0.00312,0.89072,0.83705,0.92454,0.64874,1.14377,0.54786,0.00373,0.00037895,0.00037895,0.00037895
74,12627.4,1.20013,0.61298,0.00309,0.89356,0.84349,0.92633,0.64968,1.14653,0.54309,0.00374,0.000355301,0.000355301,0.000355301
75,12797.7,1.18857,0.60512,0.00316,0.88988,0.84323,0.92766,0.65109,1.14418,0.53807,0.00374,0.000332298,0.000332298,0.000332298
76,12969.1,1.18668,0.60659,0.0031,0.90171,0.83898,0.92816,0.6512,1.14559,0.54317,0.00374,0.000309964,0.000309964,0.000309964
77,13140.3,1.18751,0.60399,0.00314,0.89113,0.85036,0.92797,0.65059,1.14619,0.53767,0.00372,0.000288321,0.000288321,0.000288321
78,13310.9,1.18209,0.59474,0.00309,0.8867,0.8514,0.92634,0.65087,1.14333,0.54332,0.00372,0.00026739,0.00026739,0.00026739
79,13482.2,1.1744,0.58981,0.00307,0.88569,0.85344,0.92685,0.65187,1.1439,0.53838,0.00374,0.000247192,0.000247192,0.000247192
80,13653.8,1.17236,0.5872,0.00307,0.89468,0.85202,0.92752,0.65294,1.14048,0.53764,0.00372,0.000227747,0.000227747,0.000227747
81,13825.5,1.16684,0.59031,0.00306,0.89486,0.85178,0.92826,0.65209,1.1419,0.53414,0.00372,0.000209073,0.000209073,0.000209073
82,13996.4,1.15954,0.58934,0.00308,0.89519,0.85059,0.9277,0.6518,1.14165,0.53737,0.00372,0.00019119,0.00019119,0.00019119
83,14166.3,1.17287,0.58902,0.00306,0.89268,0.84561,0.9266,0.65128,1.14154,0.5398,0.00372,0.000174115,0.000174115,0.000174115
84,14336.5,1.16558,0.58311,0.00305,0.88948,0.85639,0.92871,0.6538,1.14133,0.53701,0.0037,0.000157865,0.000157865,0.000157865
85,14507.0,1.1674,0.58396,0.00305,0.88913,0.85336,0.92884,0.65263,1.13906,0.53945,0.00369,0.000142456,0.000142456,0.000142456
86,14678.6,1.16534,0.57795,0.00302,0.89504,0.84868,0.92849,0.65344,1.1426,0.53356,0.00371,0.000127904,0.000127904,0.000127904
87,14849.5,1.16274,0.58428,0.00304,0.89861,0.85036,0.92864,0.65332,1.13964,0.53502,0.0037,0.000114221,0.000114221,0.000114221
88,15020.6,1.16512,0.58181,0.00301,0.89711,0.85012,0.92902,0.65381,1.14027,0.53293,0.00372,0.000101423,0.000101423,0.000101423
89,15191.2,1.16205,0.57713,0.00307,0.89529,0.85297,0.92894,0.65337,1.14037,0.53408,0.00372,8.95213e-05,8.95213e-05,8.95213e-05
90,15362.2,1.15305,0.56701,0.00295,0.89249,0.84987,0.92741,0.65272,1.14029,0.53428,0.00371,7.8528e-05,7.8528e-05,7.8528e-05
91,15530.4,1.13125,0.53173,0.00315,0.8793,0.85843,0.92441,0.64906,1.15268,0.53996,0.00373,6.8454e-05,6.8454e-05,6.8454e-05
92,15698.1,1.11316,0.52264,0.00313,0.87763,0.85914,0.92516,0.64814,1.15292,0.53975,0.00374,5.93093e-05,5.93093e-05,5.93093e-05
93,15866.0,1.11724,0.52331,0.00315,0.8826,0.85748,0.92388,0.64891,1.14746,0.54363,0.00373,5.11027e-05,5.11027e-05,5.11027e-05
94,16033.3,1.11179,0.51529,0.00309,0.88461,0.85653,0.92399,0.64982,1.14653,0.53937,0.00374,4.38424e-05,4.38424e-05,4.38424e-05
95,16200.5,1.11073,0.51817,0.00309,0.88904,0.85463,0.92501,0.65057,1.14562,0.53774,0.00373,3.75356e-05,3.75356e-05,3.75356e-05
96,16367.7,1.11219,0.51399,0.00309,0.89246,0.85353,0.9254,0.65004,1.1454,0.53872,0.00372,3.21885e-05,3.21885e-05,3.21885e-05
97,16535.4,1.11144,0.52051,0.00311,0.89263,0.85178,0.92578,0.64969,1.14913,0.53729,0.00372,2.78064e-05,2.78064e-05,2.78064e-05
98,16703.3,1.10705,0.51532,0.00308,0.89054,0.85012,0.92486,0.6502,1.1477,0.53718,0.00372,2.43937e-05,2.43937e-05,2.43937e-05
99,16870.4,1.1123,0.52169,0.00309,0.88988,0.85321,0.92675,0.64993,1.14675,0.53803,0.00372,2.19535e-05,2.19535e-05,2.19535e-05
100,17037.9,1.11203,0.52132,0.00313,0.88789,0.85344,0.92467,0.65009,1.14617,0.5397,0.00372,2.04885e-05,2.04885e-05,2.04885e-05
